Date,Country,Agency,Rating,PrevRating,RatingChanged
2023-12-19,IT,Moody's,Baa3 (Stable),Baa3 (Stable),False
2023-12-20,IT,Moody's,Baa3 (Stable),Baa3 (Stable),False
2023-12-21,IT,Moody's,Baa3 (Stable),Baa3 (Stable),False
2023-12-22,IT,Moody's,Baa3 (Stable),Baa3 (Stable),False
2023-12-25,IT,Moody's,Baa3 (Stable),Baa3 (Stable),False
2023-12-26,IT,Moody's,Baa3 (Stable),Baa3 (Stable),False
2023-12-27,IT,Moody's,Baa3 (Stable),Baa3 (Stable),False
2023-12-28,IT,Moody's,Baa3 (Stable),Baa3 (Stable),False
2023-12-29,IT,Moody's,Baa3 (Stable),Baa3 (Stable),False
2023-11-10,US,Moody's,Aaa (Negative),,True
2023-11-13,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-14,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-15,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-16,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-17,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-20,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-21,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-22,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-23,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-24,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-27,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-28,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-29,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-11-30,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-01,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-04,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-05,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-06,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-07,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-08,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-11,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-12,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-13,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-14,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-15,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-18,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-19,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-20,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-21,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-22,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-25,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-26,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-27,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-28,US,Moody's,Aaa (Negative),Aaa (Negative),False
2023-12-29,US,Moody's,Aaa (Negative),Aaa (Negative),False
